AUTHOR_YEAR	FULL_REFERENCE
Albikovskaya 1983	Albikovskaya, L. K. 1983. Feeding Characteristics of Wolffishes in the Labrador-Newfoundland Region. NAFO Sci Coun. Studies, 6: 35-38.
Amaro et al. 2010	Amaro, T., Bianchelli, S., Billett, D. S. M., Cunha, M. R., Pusceddu, A., and Danovaro, R. 2010. The trophic biology of the holothurian Molpadia musculus: implications for organic matter cycling and ecosystem functioning in a deep submarine canyon. Biogeosciences, 7: 2419-2432.
Andersen et al. 2004	Andersen, S. M., Lydersen, C., Grahl-Nielsen, O., Kovacs, K. M. 2004. Autumn diet of harbour seals (Phoca vitulina) at Prins Karls Forland, Svalbard, assessed via scat and fatty-acid analyses. Canadian journal of zoology. 82: 1230-1245
Andriyashev 1954	Andriyashev 1954. Fishes of the northern seas of the USSR. Akad Nauk SSSR, Zool Inst, Opredeliteli po Faune SSSR 53. [In Russian; transl 1964, Israel Prog Sci Transl].
Antipova & Kovzova 1982	Antipova, T.V. and Kovtsova, M.V. 1982. Daily, seasonal and annual changes in feeding and condition factor of the Barents Sea plaice. In: Ehkologiya i promysel donnykh ryb. Severo-Evropejskogo bassejna, Murmansk# p.p.43-56. (In Russian)
Ariza & Oullet 2009	Ariza, P., Ouellet, P. 2009. Diet components of northern shrimp Pandalus borealis first stage larvae in the Northwest Gulf of St. Lawrence. Journal of Crustacean Biology, 29: 532-543
Arnaud & Bamber 1987	Arnaud, F., and Bamber, R. N. 1987. The Biology of Pycnogonida - Introduction. Advances in Marine Biology, 24: 1-96.
Arsenault & Himmelman 1996	Arsenault, D. J, Himmelman, J. H. 1996. Ontogenic habitat shifts of the Iceland scallop, Chlamys islandica (Müller, 1776), in the northern Gulf of St. Lawrence. Canadian Journal of Fisheries and Aquatic Sciences. 53: 884-895
Atkinson & Percy 1991	Atkinson, E. G., and Percy, J. A. 1991. Stomach content analysis of marine benthic fish from Arctic Canada. Canadian Data Report of Fisheries and Aquatic Sciences, 840: 31pp.
Atkinson & Percy 1992	Atkinson, E. G., and Percy, J. A. 1992. Diet comparison among demersal marine fish from the Canadian Arctic. Polar Biology, 11: 567-573.
Auel et al. 2002	Auel, H., Harjes, M., da Rocha, R., Stubing, D., and Hagen, W. 2002. Lipid biomarkers indicate different ecological niches and trophic relationships of the Arctic hyperiid amphipods Themisto abyssorum and T. libellula. Polar Biology, 25: 374-383.
Båmstedt & Karlson 1998	Båmstedt, U. & Karlson, K. 1998. Euphausiid predation on copepods in coastal waters of the Northeast Atlantic. Marine Ecology Progress Series. 172: 149-168 
Barrett et al. 1987	Barrett R.T., Anker-Nielsen T., Rikardsen F., Valde K., Røv N., Vader W. 1987. The Food, Growth, and Fledging Success of Norwegian Puffin Chicka Fratercula arctica in 1980-1983. Oikos. 18:73-83
Barrett et al. 2002	Barrett R.T, Anker-Nielsen T., Gabrielsem G.W., Chapelaine G. 2002. food consumption by seabirds in Norwegian waters. ICES Journal of Marine Science. 59: 43-57
Bell 2008	Bell, J. J. 2008. The functional roles of marine sponges. Estuarine, Coastal and Shelf Science, 79: 341-353.
Berestovsky 1989	Berestovsky E.G. 1989. Feeding of skates Raja radiata (Donovan) and Raja fyllae (Lutken) (Rajidae) in the Barents Sea and the Norwegian Sea. (In Russian)
Berge & Nahrgang 2013	Berge J. & Nahrgang J. 2013. The Atlantic spiny lumpsucker Eumicrotremus spinosus: life history traits and the seemingly unlikely interaction with the pelagic amphipod Themisto libellula. Polish Polar Research. Vol 43 (3): XXX-XXX 
Bergstad 1990	Bergstad, O. A. 1990. Distribution and trophic ecology of some gadoid fish of the Norwegian Deep. 2. Food-web linkages and comparisons of diets and distributions. Sarsia, 75: 315-325.
Bergstad et al. 1999	Bergstad OA, Bjelland O, Gordon JDM. 1999. Fish communi- ties on the slope of the eastern Norwegian Sea. Sarsia. 84:67-78.
Birkely & Gulliksen 2003	Birkely, S.R. & Gulliksen, B. 2003. Feeding ecology in five shrimp species (Decapoda, Caridea) from an Arctic fjord (Isfjorden, Svalbard), with emphasis on Sclerocrangon boreas (Phipps, 1774). CRUSTACEANA-INTERNATIONAL JOURNAL OF CRUSTACEAN RESEARCH, 76: 699-716
Bjelland et al. 2000	Bjelland, O., Bergstad, O. A., Skjæraasen, J. E., and Meland, K. 2000. Trophic ecology of deep-water fishes associated with the continental slope of the eastern Norwegian Sea. Sarsia, 85: 101-117.
Bjørdalsbakke 2011	Bjørdalsbakke, L. K. 2011. (master thesis) Population structure, parasitism and prey preference in Sclerocrangon boreas and S. ferox, Svalbard. University of Tromsø, Norway
Bodini et al. 2009	Bodini, A., Bellingeri, M., Allesina, S. and Bondavalli, C. 2009. Using food web dominator trees to catch secondary extinctions in action. Philosophical Transactions of the Royal Society B-Biological Sciences, 364: 1725-1731.
Bogorov et al. 1939	Bogorov B.G., Maiteüffel B.P., Pavolva A.E. 1939. 50 cruises of the reserach ship "Persey". People`s commissariat of the fisheries of the USSR. Transactions of the Institute of marine Fisheries and Oceanography of the USSR. Vol. IV. Moscow 1939. (In Russian)
Boldovski 1941	Boldovski, G.V. 1941. Food and feeding of the Barerits Sea herrings Tr. PINRO,7:219-286. (In Russian).
Bowman et al. 2000	Bowman, R. E., Stillwell, C. E., Michaels, W. L., and Grosslein, M. D. 2000. Food of Northwest Atlantic Fishes and Two Common Species of Squid. NMFS-NE-15. 149 pp.
Braber & Groot 1973	Braber, L., and Groot, S. J. 1973. The food of five flatfish species (Pleuronectiformes) in the Southern North Sea. Netherlands Journal of Sea Research, 6: 163-172.
Bradstreet & Cross 1982	Bradstreet, M.S.W., Cross, W.E  1982. Trophic relationships at high Arctic ice edges. Arctic: 1-12
Briskina 1939	Briskina M.M. 1939. 50 cruises of the reserach ship "Persey". People`s commissariat of the fisheries of the USSR. Transactions of the Institute of marine Fisheries and Oceanography of the USSR. Vol. IV. Moscow 1939. (In Russian)
Britayev et al. 2010	Britayev, T. A., Rzhavsky, A. V., Pavlova, L. V., and Dvoretskij, A. G. 2010. Studies on impact of the alien Red King Crab (Paralithodes camtschaticus) on the shallow water benthic communities of the Barents Sea. Journal of Applied Ichthyology, 26: 66-73.
Bugge et al. 2011	Bugge J., Barrett R.T., Pedersen T. 2011. Optimal foraging in chick-raising Common Guillemots (Uria aalge). Journal of Ornithology. 152:253-259
Burgos & Mehl 1987	Burgos, G., and Mehl, S. 1987. Diet overlap between North-east Arctic cod and haddock in the southern part of the Barents Sea in 1984–1986. ICES CM, 1987/G: 50: 22pp.
Byers et al. 2010	Byers, T., Smith, A., Mallory, M. L. 2010. Diet of black guillemots and northern fulmars breeding beside a High Arctic polynya. Polar biology. 33: 457-467                 
Bylicheva 1948	Bylicheva A.I. 1948. Work from Murmansk Biological Station. Science Academy SSSR. (In Russian)
Cabral & Murta 2002	Cabral, H. N., and Murta, A. G. 2002. The diet of blue whiting, hake, horse mackerel and mackerel off Portugal. Journal of Applied Ichthyology, 18: 14-23.
Carruthers et al. 2005	Carruthers, E. H., Neilson, J. D., Waters, C., and Perley, P. 2005. Long-term changes in the feeding of Pollachius virens on the Scotian Shelf : responses to a dynamic ecosystem. Journal of Fish Biology, 66: 327-347.
Cartes & Sorbe 1998	Cartes, J. E., and Sorbe, J. C. 1998. Aspects of population structure and feeding ecology of the deep-water mysid Boreomysis arctica, a dominant species in western Mediterranean slope assemblages. Journal of Plankton Research, 20: 2273-2290.
Chiperzak et al. 2003	Chiperzak, D. B., Hopky, G. E., Lawrence, M. J., Schmid, D. F., and Reist, J. D. 2003. Larval and Post-Larval Fish Data From the Canadian Beaufort Sea Shelf , July to September 1987 Central and Arctic Region Fisheries and Oceans Canada Winnipeg , MB R3T 2N6. Canadian Data Report of Fisheries and Aquatic Sciences, 1121: 84.
Clapham 2009	Clapham, P. J. 2009. Humpback whale Megaptera novaeangliae. In Encyclopedia of marine mammals, 2nd edn, pp. 582-584. Ed. by W. F. PERRIN, H. G. M. THEWISSEN, and B. WÜRSING. Academic Press/Elsevier, Amsterdam.
Cochrane et al. 2012	Cochrane, S.K.J., Pearson, T.H., Greenacre, M., Costelloe, J., Ellingsen, I.H., Dahle, S. and Gulliksen, B. (2012) Benthic fauna and functional traits along a Polar Front transect in the Barents Sea - Advancing tools for ecosystem-scale assessments. Journal of Marine Systems, 94: 204-217.
Cohen et al. 1990	Cohen, D. M., Inada, T., Iwamoto, T., and Scialabba, N. 1990. Gadiform fishes of the world (order Gadiformes): an annotated and illustrated catalogue of cods, hakes, grenadiers and other gadiform fishes known to date FAO Fisheries Synopsis, 125: 442pp.
Conover 1960	Conover, R. J., 1960. The feeding behaviour and respiration of some marine planktonic crustacea. Biol. Bull. mar. biol. Lab. Woods Hole. 119: 399–415.
Dahl et al. 2000	Dahl, T.M., Lydersen C., Kovacs K.M, Falk-Petersen S., Sargent J., Gjertz I., Gulliksen B. 2000. Fatty acid composition of the blubber in white whales (Delphinapterus leucas) Polar biology, 23:401-409
Darbyson et al. 2003	Darbyson, E., Swain, D. P., Chabot, D., and Castonguay, M. 2003. Diel variation in feeding rate and prey composition of herring and mackerel in the southern Gulf of St Lawrence. Journal of Fish Biology, 63: 1235-1257.
Dehn et al. 2007	Dehn, L. A., Sheffield, G. G., Follmann, E. H., Duffy, L. K., Thomas, D. L. O'Hara, T. M. (2007). "Feeding ecology of phocid seals and some walrus in the Alaskan and Canadian Arctic as determined by stomach contents and stable isotope analysis." Polar Biology 30(2): 167-181.
Desilva 1973	Desilva, S. S. 1973. Food and feeding habits of herring, Clupea harengus and sprat C. sprattus in inshore waters of west coast of Scotland. Marine Biology, 20: 282-290.
Dolgov & Drevetnyak 1993	Dolgov, A. V., and Drevetnyak, K. V. 1993. Some peculiarities of feeding and feeding interactions of deepwater redfish Sebastes mentella in the Barents and Norwegian Seas. ICES CM, 1993/G: 60.
Dolgov 2002	Dolgov A.V. 2002. The role of capelin (Mallotus villosus) in the foodweb of the Barents Sea. ICES Journal of Marine Science. 59: 1034-1045
Dolgov 2005	Dolgov A. 2005. Feeding and Food Consumption by the Barents Sea Skates. Journal of Northwestern Atlantic Fishery Science. Vol 35: 495-503
Dolgov et al. 2010	Dolgov, A. V., Johannesen, E., Heino, M., and Olsen, E. 2010. Trophic ecology of blue whiting in the Barents Sea. ICES Journal of Marine Science, 67: 483-493.
dos Santos & Falk-Petersen 1989	dos Santos, J., and Falk-Petersen, S. 1989. Feeding ecology of cod (Gadus morhua L.) in Balsfjord and Ullsfjord, northern Norway, 1982-1983. ICES Journal of Marine Science, 45: 190-199.
Du Buit 1991	Du Buit, M. 1991. Food and feeding of saithe (Pollachius virens L.) off Scotland. Fisheries Research, 12: 307-323.
Durant et al. 2003	Durant J.M., Anker-Nielsen T., Stenseth N.C. 2003. Trophic interactions under climate fluctuations: the Atlantic puffin as an example. The Royal society, London. 270:1461-1466
Eliassen & Jobling 1985	Eliassen, J. E., and Jobling, M. 1985. Food of the roughhead grenadier, Macrourus berglax, Lacepede in North Norwegian waters. Journal of Fish Biology, 26: 367-376.
Ellis et al. 1996	Ellis, J. R., Pawson, M. G., and Shackley, S. E. 1996. The comparative feeding ecology of six species of shark and four species of ray (elasmobranchii) in the North-East Atlantic. Journal of Marine Biological Association of the U.K., 76: 89-106.
Emson et al. 1991	Emson, R. H., Mladenov, P. V., and Karen, N. B. 1991. The Feeding mechanism of the basket star Gorgonocephalus arcticus. Canadian Journal of Zoology, 69: 449-455.
Eriksen 2012	Eriksen, E. 2012. Survey report from the joint Norwegian/Russian ecosystem survey in the Barents Sea, August-October 2012. IMR/PINRO joint report series, No 2/2012. 139 pp.
Erikstad 1990	Erikstad K.E., 1990. Winter diets of four seabird  species in the Barents Sea after a crash in the capelin stock. Polar Biology. 10: 619-627
Falk et al. 1992	Falk K., Jensen J-T., Kampp K. 1992. Winter diet of the Atlantic Puffins (Fractercula arctica) in the Northeast Atlantic. Colonial waterbirds. 15:230-235
Falk-Petersen et al. 1988	Falk-Petersen, I. B., Frivoll, V., Gulliksen, B., Haug, T., and Vader, W. 1988. Age/size relations and food of two snailfishes, Liparis gibbus and Careproctus reinhardii (Teleostei, Liparididae) from Spitsbergen coastal waters. Polar Biology, 8: 353-358.
Falk-Petersen et al. 2001	Falk-Petersen, S., Sargent, J. R., Kwasniewski, S., Gulliksen, B., Millar, R-M. 2001. Lipids and fatty acids in Clione limacina and Limacina helicina in Svalbard waters and the Arctic Ocean: trophic implications. Polar Biology. 24: 163-170
Falk-Petersen et al. 2010	Falk-Petersen, I.-B., Kanapathippilai, P., Primicerio, R., and Hansen, T. 2010. Size, locality and seasonally related feeding preferences of common wolffish (Anarhichas lupus L.) from north-Norwegian waters. Marine Biology Research, 6: 201-212.
Falk-Petersen et al. 2011	Falk-Petersen, J., Renaud, P., Anisimova, N. 2011. Establishment and ecosystem effects of the alien invasive red king crab (Paralithodes camtschaticus) in the Barents Sea–a review. ICES Journal of Marine Science: Journal du Conseil, 68:479-488
Fancett 1988	Fancett, M. S. 1988. Diet and Prey Selectivity of Scyphomedusae from Port Phillip Bay, Australia. Marine Biology, 98: 503-509.
Fauchald & Jumars 1979	Fauchald, K., and Jumars, P. A. 1979. The diet of worms: a study of polychaete feeding guilds. Oceanogr. Mar. Biol. Ann. Rev., 17: 193-284.
Finley & Evans 1983	Finley K. J., Evans C. R. 1983. Summer diet of the bearded seal (Erignathus barbatus) in the Canadian High Arctic. Arctic
Finley & Gibb 1982	Finley, K. J., and Gibb, E. J. 1982. Summer diet of the narwhal (Monodon monoceros) in Pond Inlet, northern Baffin Island. Canadian Journal of Zoology, 60: 3353-3363.
Fischer & Stewart 1997	Fischer, K. I. and Stewart, R.E.A. 1997 Summer foods of Atlantic walrus, Odobenus rosmarus rosmarus, in Northern Foxe Basin, Northwest Territories. Canadian Journal of Zoology, 75:1166-1175
FishBase	FishBase http://www.fishbase.org/
Flinn et al. 2002	Flinn, R. D., A.W. Trites, Gregr, E. J., and Perry, R. I. 2002. Diets of fin, sei, and sperm whales in British Columbia: an analysis of commercial whaling records, 1963-1967. Marine Mammal Science, 18: 663-679.
Friis Moeller et al. 2012	Friis Møller, Eva., Maar, M., Jónasdóttir, S. H. Nielsen, T.G., Tönnesson, K. 2012. The effect of changes in temperature and food on the development of Calanus finmarchicus and Calanus helgolandicus populations. Limnology and Oceanography. 57: 211-220
Gallagher et al. 1998	Gallagher, M. L., Ambrose Jr., W. G., Renaud, P. E. 1998. Comparative studies in biochemical composition of benthic invertebrates (bivalves, ophiuroids) from the Northeast Water (NEW) Polynya. Polar Biology. 199: 167-171
Gibson 1972	Gibson, R.N. 1972. The vertical distribution and feeding relationships of intertidal fish on the Atlantic coast of France. The Journal of Animal Ecology. 189-207
Gissel Nielsen 2005	Gissel Nielsen T. 2005 (PhD thesis) Struktur og funktion af fødenettet i havets frie vandmasser. Afdeling for Marin Økologi. Danmarks Miljøundersøgelser. Miljøministeriet 
Gjertz & Wiig 1992	Gjertz, I. Wiig Ø. 1992. Feeding of walrus Odobenus rosmarus in Svalbard. Polar record
Gonzáles et al. 2006	Gonzáles, C., Román, E., Paz, X., and Ceballos, E. 2006. Feeding habits and diet overlap of skates (Amblyraja radiata, A. hyperborea, Bathyraja spinicauda, Malacoraja senta and Rajella fyllae) in the North Atlantic. Northwest Atlantic Fisheries Organization, NAFO SCR Doc. 06/53: 17pp.
González et al. 1999	González, C., Bruno, I., and Paz, X. 1999. Food and Feeding of Deep-sea Redfish ( Sebastes mentella Travin ) in the North Atlantic. NAFO Sci Coun. Studies, 33: 89-1019
Gordon & Duncan 1979	Gordon, J. D. M., and Duncan, J. A. R. 1979. Some notes on the biology of the snake blenny, Lumpenus lampretaeformis on the west coast of Scotland. Journal of the Marine Biological Association of the United Kingdom, 59: 413-419.
Graeve et al. 1997	Graeve M., Kattner G., Piepenburg D. 1997. Lipids in Arctic benthos: does the fatty acid and alcohol composition reflect feeding and trophic interactions? Polar Biology, 18: 53-61
Greve 1970	Greve, W. 1970. Cultivation Experiments on North-Sea Ctenophores. Helgolander Wissenschaftliche Meeresuntersuchungen, 20: 304-&.
Gudimov et al. 2003	Gudimov, A. V., Gudimova, E. N., and Pavlova, L. V. 2003. Effect of the red king crab Paralithodes camtschaticus on the Murmansk coastal macrobenthos: the first estimates using sea urchins of the genus Strongylocentrotus as an example. Doklady biological sciences, 393: 539-541.
Gundersen 1996	Gundersen, A. C. 1996. Dietundersøkelsen hos blålange, lange, brosme i storegga. Møreforskning
Gontikaki et al. 2011	Gontikaki, E.,  Narayanaswamy, B.E.,  Witte, U. 2011.  Feeding strategies of deep-sea sub-Arctic macrofauna of the Faroe-Shetland Channel: Combining natural stable isotopes and enrichment techniques. Deep Sea Research Part I: Oceanographic Research Papers. 58: 160-172
Hamel & Mercier 1998	Hamel, J. F., and Mercier, A. 1998. Diet and feeding behaviour of the sea cucumber Cucumaria frondosa in the St. Lawrence estuary, eastern Canada. Canadian Journal of Zoology, 76: 1194-1198.
Hammill & Stenson 2000	Hammill M.O., Stenson G.B. 2000. Estimated prey consumption by harp seals (Phoca groenlandica), hooded seals (Cystophora cristata), grey seals (Halichoerus grypus) and harbour seals (Phoca vitulina) in Atlantic Canada. Journal of Northwest Atlantic Fishery Science, 26:1-24 
Hamner 1983	Hamner, W. 1983. Gelatinous zooplankton of the Bering Sea. In Processes and Resources of the Bering Sea Shelf, Final Report. Vol. II. , pp. 211-229. Ed. by N. S. FOUNDATION. Washington, DC.
Harding et al. 2009	Harding A.M.A., Egevang C., Walkusz w., Merkel F., Blanc S., Gremillet D. 2009. Estimating prey capture rates of a planktivorous seabird, the little auk (Alle alle), using diet, diving behaviour, and energy consumption. Polar Biology. 32: 785-796
Harris et al. 2009	Harris, J. L., MacIsaac, K., Gilkinson, K. D., and Kenchington, E. L. 2009. Feeding biology of Ophiura sarsii Lütken, 1855 on Banquereau bank and the effects of fishing. Marine Biology, 156: 1891-1902.
Hassel et al. 1991	Hassel, A., Skjoldal, H. R., Gjøsæter, H., Loeng, H., and Omli, L. 1991. Impact of grazing from capelin (Mallotus villosus) on zooplankton - a case-study in the northern Barents Sea in August 1985. Polar Research, 10: 371-388.
Haug et al. 1995	Haug, T., Gjøsæter, H., Lindstrøm, U., and Nilssen, K. T. 1995. Diet and food availability for north-east Atlantic minke whales (Balaenoptera acutorostrata), during the summer of 1992. ICES Journal of Marine Science: Journal du Conseil, 52: 77-86.
Haug et al. 1996	Haug, T., Lindstrøm, U., Nilssen, K. T., and Røttingen, I. 1996. Diet and food availability for northeast Atlantic minke whales Balaenoptera acutorostrata. . Report of the International Whaling Commission, 46: 371-382.
Haug et al. 2004	Haug, T., Nilssen & K.T., Lindblom 2004. Feeding habits of harp and hooded seals in drift ice waters along the east coast of Greenland in summer and winter. Polar Research 23(1), 35-42.
Haug et al. 2007	Haug, T., Nilssen, K.T., Lindblom, L. & Lindstrøm, U. 2007. Diets of hooded seals (Cystophora cristata) in coastal waters and drift ice waters along the east coast of Greenland. Mar. Biol. Res. 3: 123-133.
Hedeholm et al. 2012	Hedeholm, R., Grønkjær, P., Rysgaard, S. 2012. Feeding ecology of capelin (Mallotus villosus Müller) in West Greenland waters. Polar Biology. 35(10): 1533-1543
Heggland et al. 2011	Heggland, K., Ottesen, C., and Berge, J. 2011. Life history of Leptagonus decagonus ( Atlantic poacher ) in Svalbard waters. Poster presented at Arctic Frontiers 2011. Tromsø.
Heldal et al. 2003	Heldal, H., Føyn, L., and Varskog, P. 2003. Bioaccumulation of 137Cs in pelagic food webs in the Norwegian and Barents Seas. Journal of Environmental Radioactivity, 65: 177-185.
Hinz et al. 2005	Hinz, H., Kroncke, I. and Ehrich, S. 2005. The feeding strategy of dab Limanda limanda in the southern North Sea: linking stomach contents to prey availability in the environment. Journal of Fish Biology, 67: 125-145.
Hirche & Bohrer 1987	Hirche ,H-J., Bohrer, R.N. 1987. Reproduction of the Arctic copepod Calanus glacialis in Fram Strait. Marine Biology, 94: 11-17 
Hislop et al. 1991	Hislop, J. R., Robb, A. P., Bell, M. A., and Armstrong, D. W. 1991. The diet and food consumption of whiting (Merlangius merlangus) in the North Sea. ICES Journal of Marine Science, 48: 139-156.
Hjelset et al. 1999	Hjelset, A. M., Andersen, M., Gjertz, I., Lydersen, C., Gulliksen, B. 1999. "Feeding habits of bearded seals (Erignathus barbatus) from the Svalbard area, Norway." Polar Biology 21(3): 186-193.
Høines & Bergstad 1999	Høines, Å. S., and Bergstad, O. A. 1999. Resource sharing among cod, haddock, saithe and pollack on a herring spawning ground. Journal of Fish Biology, 55: 1233-1257.
Horng & Taghon 1999	Horng, C., and Taghon, G. L. 1999. Effects of contaminated sediments on particle size selection by the polychaete Capitella sp. Journal of Experimental Marine Biology and Ecology, 242: 41-57.
Houston & Haedrich 1986	Houston, K. A., and Headrich, R. L. 1986. Food habits and intestinal parasites of deep demersal fishes from the upper continental slope east of Newfoundland northwest Atlantic Ocean. Marine Biology, 92: 563-574.
Hudson et al. 2004	Hudson, I. R., Wigham, B. D., and Tyler, P. A. 2004. The feeding behaviour of a deep-sea holothurian, Stichopus tremulus (Gunnerus) based on in situ observations and experiments using a Remotely Operated Vehicle. Journal of Experimental Marine Biology and Ecology, 301: 75-91.
IMR-PINRO report 1994	IMR-PINRO report 1994. missing reference
IMR-PINRO report 2009	IMR-PINRO report 2009. Stomach data base and Ecosystem survey 2009
Jaworski & Ragnarsson 2006	Jaworski, A., and Ragnarsson, S. 2006. Feeding habits of demersal fish in Icelandic waters: a multivariate approach. ICES Journal of Marine Science, 63: 1682-1694.
Jiang & Jørgensen 1996	Jiang, W., and Jørgensen, T. 1996. The diet of haddock (Melanogrammus aeglefinus L.) in the Barents Sea during the period 1984-1991. ICES Journal of Marine Science, 53: 11-21.
Jones et al. 1998	Jones, E. G., Collins, M. A., Bagley, P. M., Addison, S., Priede, I. G. 1998. The fate of cetacean carcasses in the deep sea: observations on consumption rates and succession of scavenging species in the abyssal north-east Atlantic Ocean. Proceedings of the Royal Society of London. Series B: Biological Sciences. 265: 1119-1127
Jørgensen & Nilssen 2011	Jørgensen, L. L., and Nilssen, E. M. 2011. The Invasive History, Impact and Management of the Red King Crab Paralithodes camtschaticus off the Coast of Norway. In In the Wrong Place - Alien Marine Crustaceans: Distribution, Biology and Impacts, pp. 521-536. Ed. by B. S. GALIL, P. F. CLARK, and J. T. CARLTON. Springer Netherlands.
Jørgensen et al. 2014	Jørgensen, L. L. , Ljubin, P., Skjoldal, H. R., Ingvaldsen, R. B., Anisimova, N., Manushin, I. 2014. Distribution of benthic megafauna in the Barents Sea: baseline for an ecosystem approach to management. ICES Journal of Marine Science: Journal du Conseil. 72: 595-613
Kanapathippillai et al. 1994	Kanapathippillai, P., Berg, E., Dos Santos, J., Gulliksen, B., and Pedersen, T. 1994. The food consumption of cod, Gadus morhua L., in a high-latitude enhancement area. Aquaculture and Fisheries Management, 25: 65-76.
Karnovsky & Hunt 2002	Karnovsky, N. J., and Hunt, G. L. 2002. Estimation of carbon flux to dovekies (Alle alle) in the North Water. Deep-Sea Research Part Ii-Topical Studies in Oceanography, 49: 5117-5130.
Keats & Steele 1990	Keats, D.W., Steele, D.H. 1990. The fourbeard rockling, Enchelyopus cimbrius (L.), in eastern Newfoundland. Journal of fish biology, 37:803-811
Kedra et al. 2010	Kedra, M., Gromisz, S., Jaskula, R., Legezynska, J., Maciejewska, B.,Malec, E., Opanowski, A., Ostrowska, K., W_odarska-Kowalczuk, Maria, Weslawski, J Marcin. 2010. Soft bottom macrofauna of all taxa biodiversity site: Hornsund (77N, Svalbard). Polish Polar Research, 31:309-326
Klemetsen 1982	Klemetsen, A. 1982. Food and feeding habits of cod from the Balsfjord, northern Norway during a one-year period. J. Cons. int. Explor. Mer., 40: 101-111.
Kleppel 1993	Kleppel, G.S 1993. On the diets of calanoid copepods. Marine Ecology-Progress Series. 99: 183-183
Klimpel et al. 2003	Klimpel, S., Seehagen, A., and Palm, H. W. 2003. Metazoan parasites and feeding behaviour of four small-sized fish species from the central North Sea. Parasitology Research, 91: 290-297.
Komarova 1939	Komarova  I.B., 1939. Feeding of long rough dab (Hippoglossoides platesssoides) in the Barents Sea in connection with food reources. Trudy VNIRO. 4: 297-320. (In Russian)
Kovacs et al. 2009	Kovacs, K., et al. 2009. Marine mammlas of the Barents Sea.In: Ecosustem Barents Sea: 453-496.
Källgren 2014	Källgren, E. K., Pedersen, T., Nilssen, E. M. 2014. Food resource partitioning between three sympatric fish species in Porsangerfjord, Norway. Polar Biology. 38: 583-589
Labai et al. 2003	Labai, V. S., Poltev, Y. N., and Mukhametov, I. N. 2003. Feeding of the Snailfish Careproctus cf . cyclocephalus in Pacific Waters of the Northern Kuril Islands. Russian Journal of Marine Biology, 29: 104-109.
Labansen et al. 2011	Labansen A.L , Lydersen C, Levermann  N, Haug T and Kovacs KM. 2011. Diet of ringed seals (Pusa hispida) from Northeast Greenland. Polar Biology 34: 227-234.
Laidre & Heide-Jørgensen 2005	Laidre, K. L., M. P. Heide-Jørgensen 2005. Winter feeding intensity of narwhals. Marine Mammal Science 21:45-57.
Laidre et al. 2006	Laidre, K. L., M. P. Heide-Jørgensen, and J. Orr 2006. Reactions of narwhals, Monodon monoceros, to killer whale, Orcinus orca, attacks in the eastern Canadian High Arctic’,Canadian Field Naturalist, 120(4): 457–465., 2006
